IPAddress,Describe,Time,Forgiveness,Morality,Tone,valenceThen_1,intensityThen_1,Valence Now,Intensity Now,revenge_1,revenge_1,revenge_1,revenge_1,revenge_1,Revenge,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_1,avoidance_2,Avoidance,benevolence_1,benevolence_1,benevolence_1,benevolence_1,benevolence_1,benevolence_1,Benevolence,age,gender
68.1.148.133,"I was with this relationship and the person lied to me about having a drivers license and I let them drive my car, they ended up getting pulled over and arrested because of this. I had to bail them out. I shouldn't have forgiven them for lying to me but I did. ","March, 2016",Yes,6,1,1,6,1,5,6,7,7,7,7,6.8,7,6,7,7,7,7,7,6.857142857,1,1,1,1,1,1,1,34,Male
75.115.132.183,"A few years ago, I found out my husband was cheating on me.  I was devastated and asked him to leave.  During his time away from home, about 6 months, we slowly started talking again and working on why it happened.  Eventually, I was able to forgive him due to his willingness to open up completely and work on himself.  It was hard work and even after he moved back in, I had to keep working on the forgiveness.
",43556,Yes,7,4,1,7,3,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1.142857143,7,7,7,7,7,7,7,55,Female
76.36.28.24,My ex-husband secretly filed for divorce without ever talking with me about problems in our relationship. He worked to have me thrown out of our home. He went out of his way to make this process as painful and impossible for me as possible. He did this during the covid pandemic lockdowns in order to ensure I'd have no access to aid.,44044,Yes,7,1,1,7,2,5,1,5,5,1,2,2.8,7,7,7,1,7,7,4,5.714285714,2,1,1,1,5,1,1.833333333,38,Female
216.51.169.169,"I had a family member harm me emotionally and physically over and over and over again. It took a long time but, I did forgive them for it through religion. ",36861,Yes,5,3,5,7,2,6,2,2,2,6,6,3.6,6,6,7,6,6,7,7,6.428571429,2,2,2,6,7,6,4.166666667,46,Male
24.163.25.212,My girlfriend cheated on me a few years ago. I was hurt emotionally by her actions. I felt betrayed. It took time but I eventually forgave her. She made a mistake and I understood that.,44409,Yes,6,2,2,6,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,38,Male
76.124.224.156,"There was a time during my childhood around 16 when I had a poor relationship with my father. He was not very present in my life emotionally, which bothered me at times. A situation had occurred with him hindering my ability to go to the school I wanted because he was in a different area. We had gotten into an argument and exchanged some words which were pretty hurtful. I had been upset with him for a while after that, but eventually forgave him.","July,2016",Yes,5,2,2,4,3,2,1,1,1,1,1,1,1,3,3,1,4,5,3,2.857142857,6,3,4,5,7,7,5.333333333,23,Male
172.56.25.30,"I can recall when someone I called a ""friend"" stole my Nintendo DSI I received for Christmas. I showed it off to others and allowed them to play with it if they asked. I found out when I noticed it was missing from my backpack and I caught him playing with the game system during lunch (it was special limited edition with my name on it so I knew it was mine). This hurt me emotionally as my trust completely went out the window with this person. Nevertheless, after talking with them, I did get it back and I forgave him in the end. ",42005,Yes,5,3,4,5,3,3,2,1,1,4,1,1.8,3,1,4,4,4,3,4,3.285714286,5,4,4,4,4,4,4.166666667,27,Male
184.17.89.150,"She wrote a scathing email telling me how awful a person I am. How I was a user, that I lied to them and everyone else. That I deserved every bad thing that happened to me. That it was them that kicked me out, not the someone they had blamed. It was awful. She is family to me.", May 2019,Yes,7,1,1,7,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,58,Female
136.60.163.72,"A friend accused me of something I did not do. She told other people that she thought I did something shameful, but never asked me about it directly. I found this out only because others told me. They never believed her and dismissed it, but I was very hurt that she not only thought this of me but didn't bother to ask me and spread this vicious rumor to others.  A few months ago, I told her that I knew about it and told her how much it hurt me. She told me the reason she came to her conclusion and apologized. ",42064,Yes,6,1,1,7,1,1,1,3,4,3,3,2.8,4,4,7,5,4,5,5,4.857142857,5,4,4,4,3,3,3.833333333,48,Female
24.216.107.189,"My daughter in law was incredibly rude to me through text, it came out of nowhere and I was shocked and hurt. I immediately put my phone down and walked away because I knew if I said anything it would just get worse. I backed way off from engaging with my daughter in law for months until one day she texted and apologized, it took a lot but I did forgive her to keep the peace in the family.",44166,Yes,6,2,1,7,3,5,2,1,3,1,1,1.6,4,4,5,5,3,5,5,4.428571429,4,4,5,5,4,4,4.333333333,61,Female
69.180.80.6,"My ex wife had an affair. It was devastating and caused me so much spite and resentment. I divorced her shortly after but I was still angry for a long time. Through my own soul searching I eventually allowed myself to forgive her. Although I don't care to ever see her again because of the trauma she caused me, I have learned to forgive because it was harmful to myself to carry aversion. I truly believe everything happens for a reason.","October, 2018",Yes,7,4,1,7,4,4,1,1,1,1,1,1,4,7,7,7,7,7,4,6.142857143,7,4,1,1,7,1,3.5,34,Male
75.132.247.168,i remember getting in a schoolyard fight. afterwards we became friends. it was a glorious experience because he became one of my closest friends. he destroyed my jaw with his fist before we got into a full on boxing match. turns out its a fond memory.,"sept, 1989",Yes,3,7,7,7,7,7,1,1,2,1,1,1.2,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,53,Female
72.199.156.153,"i was supposed to hang out with a friend of mine but they called at the last minute and said they were sick and cancelled. no big deal i thought. a few hours later i check facebook and she's posting hanging out with another friend drinking beers. i was very upset, because i would have happily got drunk with her. turns out she was on a bender for several days. she later admitted to being an alcoholic and went into recovery so i forgave her",43586,Yes,5,3,2,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,39,Male
148.170.205.83,"About 8+ years ago my father was going through an extremely difficult time. He (at the time) had an undiagnosed mental disorder (CTE) and was acting in an extremely aggressive and hostile manner. He never got physically aggressive but he would scream and explode with anger over the slightest of things which made him very volatile and difficult to be around. His rage was on at least one occasion directed at me for a minor slight which lead him to say extremely nasty and hurtful things as well as threatening to kick me out of the home we shared.

I just had to weather the storm and eventually our situation improved AND we were able to discover what was wrong with him. Although I was hurt by his behavior I forgave him because he had a disorder that made it very easy for him to lose control.","August, 2015",Yes,7,2,1,7,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,7,6,7,7,6.666666667,32,Male
172.59.96.144,"A guy added me on Facebook a few years ago. We went and hung out at his place, where he was extremely vulgar. I recently added him again, not recognising him as the same person; his appearance had changed a lot. He apologised for how he treated me and said he'd taken the last few years to do a lot of growing and self introspection. I agreed to be friends because he seems like he genuinely has changed.",44105,Yes,7,1,1,6,3,2,1,1,2,1,1,1.2,2,1,2,2,1,2,2,1.714285714,6,7,7,7,6,7,6.666666667,34,Female
73.21.245.36,My sister lost her husband to cancer. At the time she began to drink. We took in her son who was 6 at the time. We then raised him for the next 4 years. We told her we were moving and she slapped me.,42856,Yes,7,2,1,7,1,5,2,2,2,1,1,1.6,6,5,6,7,6,6,5,5.857142857,5,3,4,2,5,1,3.333333333,46,Female
136.49.34.244,She was the director of a non profit.  She was never satisfied with my volunteer work and would verbally abuse me over my actions.  The non profit was supposed to be about empowerment making this really painful.  I was doing my best.  I left and forgave her.,44378,Yes,6,2,3,3,2,5,3,4,5,4,5,4.2,6,6,6,7,5,7,5,6,2,1,1,1,4,3,2,44,Female
98.118.186.168,That was when I had a break up and I went through a lot and that made me sad and also depressed and at the end I forgave him.,"July,2015",Yes,5,3,5,5,5,5,5,5,3,3,3,3.8,3,3,3,5,3,5,5,3.857142857,5,5,5,3,5,5,4.666666667,48,Female
67.141.26.167,"I had an ex boyfriend who was one of my first loves and from the first few dates i fell deeply in love with him and felt the same from him put as time when on i got to know him more and he was also a few years older than me. He was more experienced than me and found out he actually had a kid and still occasionally spent time with him baby mother so that hurt me a lot finding out from some other source other than him. I would always go above and beyond for him and one day we planned to spend the day together and he told me he would have to cancel since he was going to spend time with his soon, so i was ok with that, at that point i had accepted the fact and was ok with that situation. Later than night i was out with family and happened to open facebook and scrolled a bit and saw a post with my boyfriend, it was a tagged pic of him out with some other guy, i was so heartbroken that he did that to me and as the days went we talked and cried a lot together and i couldn't get over that","january, 2014",Yes,5,3,2,6,4,3,3,2,4,3,3,3,6,6,5,5,6,6,5,5.571428571,5,5,4,4,5,4,4.5,27,Male
12.251.116.118,A family member slapped me across the face really hard during an argument we were having. They later apologized and I accepted it.,44044,Yes,7,1,1,7,1,5,1,1,1,1,1,1,4,1,3,1,1,1,2,1.857142857,4,7,5,7,7,7,6.166666667,30,Male
173.172.44.161,Someone at work hurt me with a tool. It was pretty traumatizing. But they apologized for it. So then I forgave them even though it was bad.,44044,Yes,6,2,2,3,3,3,3,4,4,3,3,3.4,6,3,3,5,3,3,5,4,4,3,4,4,3,2,3.333333333,33,Male
50.209.42.249,"I was told by my mom when I was 15 that she was divorcing my father, she told me before any of my other family, putting the emotional weight on me. I have forgiven her because I love her and want her to be happy above all.",42186,Yes,2,2,1,7,3,3,1,1,3,1,1,1.4,2,1,1,1,1,1,1,1.142857143,6,5,7,6,7,5,6,23,Female
72.231.16.195,"I was in relationship with women younger than me. At some point she started to avoid me, often without providing a reason. Later I learned that she found a man thru online dating site and started date him. Something didn't work out as she hoped, and she returned to me. I forgive her but our relationship was never the same","August, 2018",Yes,6,5,3,4,4,5,3,3,4,3,4,3.4,4,5,5,5,4,5,5,4.714285714,5,4,4,4,4,5,4.333333333,67,Male
108.66.253.40,"My sister told me that I was fat...it hurt my feelings and made me feel bad about myself...I kept the bad feelings inside for a while....Then I told her that she had hurt my feelings....she said that she was sorry,that she was in a bad mood that day...I forgave her.","july,2022",Yes,4,3,2,5,1,3,1,1,1,1,2,1.2,3,1,6,1,1,2,2,2.285714286,5,6,6,6,3,5,5.166666667,55,Female
72.71.223.103,"In college, I was music directing a musical, which means teaching the music to the actors and making sure the pit orchestra rehearses and is ready for the show. One of my cast members didn't like that we hadn't cast her as the lead, so she started spreading rumors about me being a horrible abusive person to the rest of the theatre community. ",44501,Yes,7,2,1,5,2,4,2,4,4,1,3,2.8,7,7,6,7,6,6,3,6,5,2,3,3,3,3,3.166666667,22,Male
152.160.163.130,"I had a close friend that ended up getting physical with me one night. We had a disagreement about how a situation with one of our female friends should have been handled. He felt like his activities with her weren't wrong and I felt quite differently. I got so angry I punched a wall and ended up breaking my hand. Yet, at this outburst he ended up hitting me and also bruising some ribs. There was a bit more of a scuffle and some choice words said. For months after the incident, we didn't speak. After the girl was no longer in the picture we ended up making amends and still see each other today. ","August, 2020",Yes,6,1,1,7,1,3,1,1,1,1,1,1,1,1,3,1,1,2,1,1.428571429,6,5,7,7,6,7,6.333333333,40,Male
69.14.129.15,"Due to an extreme misunderstanding on their part, a friend thought I had betrayed them in a way that warranted a severing of our friendship. They were quite blunt and direct in their feelings. It hurt to hear a friend say the things they said. After some good time had passed information was made available to them and they realized what had really happened. I of course forgave them because that is what friends do. And if I had done what they thought I had, their response was perfectly reasonable.","January, 2015",Yes,1,3,1,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,39,Male
70.113.35.104,I was in a relationship with another person and that person did something that hurt me very much emotionally.   Over time I was able to move on (after ending the relationship) and forgive the person.,42767,Yes,5,2,1,6,3,2,2,1,4,1,1,1.8,3,6,4,2,6,7,4,4.571428571,4,6,4,4,6,4,4.666666667,48,Male
69.213.191.116,"My son was visiting for a week but spent most of his time with his old friends and sister. It was the last day and I had taken the day off work to spend time with him. He was at his sister's the night before and they were supposed to come in the morning to spend the day with me, but didn't show up until late in the evening. I was very hurt by both my children ignoring me but I forgave them. ",43191,Yes,4,2,1,7,3,4,1,1,4,1,1,1.6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,65,Female
174.216.7.4,An uncle bought me a suit. He noticed it was wrinkled when I wore it. He deeded  wasn't taking well enough care of it. He punched me for it. Later he died of cancer. Then I forgave him for punching me.,30529,Yes,5,3,3,5,4,5,2,5,5,2,5,3.8,6,6,6,2,5,5,5,5,4,3,3,2,6,2,3.333333333,61,Male
66.177.104.81,In July of 2018 my fiance left me without any warning. Shortly thereafter my father died and he (the ex) began to come around again. I believed we might be working thinks out but it turned out he was just using me. It hurt so much and I realized I had to truly let him completely go. ,43282,Yes,2,3,1,7,3,3,1,1,2,1,1,1.2,6,6,5,7,7,7,3,5.857142857,6,2,2,2,4,2,3,44,Female
98.103.183.138,My alcoholic father yelled and called me many names. He always did this when he was drunk and he was drunk a lot.  It was so hurtful and painful and I would cry.  But when he was sober and loving he would apologize and I would always forgive him hoped it would never happen again.,42385,Yes,7,1,1,7,1,7,2,2,2,3,3,2.4,4,2,5,3,3,3,3,3.285714286,5,2,3,5,3,3,3.5,39,Female
70.126.181.76,"My friend and I had an unpleasant experience. She is one of my closest friends. I got offended, jealous, and baleful when we crossed our interests in another friend. After a fight, we stopped contacting each other for two years.",43252,Yes,5,6,1,7,5,5,3,1,2,1,7,2.8,1,4,2,1,1,1,1,1.571428571,7,7,7,5,4,7,6.166666667,43,Female
66.74.220.83,"A time when someone harmed me emotionally was when I had planned a birthday dinner for a boyfriend. I made sure they were free that night. Since they could be flaky, I asked them several times if they would definitely be coming to dinner that night. They repeatedly promised they would. However, that night they never showed up. Although they didn't even have an excuse for not being there, I forgave them anyway.","October, 2015",Yes,5,1,1,7,1,3,1,1,1,1,1,1,5,5,6,5,4,5,6,5.142857143,4,2,4,4,3,3,3.333333333,53,Female
107.205.236.134,"When I was doing my internship to become an ordained pastor, my supervising pastor emotionally harmed me. It was quite severe and has scarred me for the rest of my life. I was 6 months from finishing but I could not. I was between the proverbial rock and hard place. She made it hell for me so I had no choice but to resign and start again somewhere else. Very painful to this day.",42036,Yes,5,1,1,7,3,6,1,1,1,1,1,1,5,3,6,5,5,3,6,4.714285714,3,5,3,2,5,5,3.833333333,70,Male
99.169.160.80,"Back in October 2017 I went out on Halloween with a group of friends from work and my current Paramore. While we were trying to get into one of the clubs, my lover was stopped, and we were unable to proceed as the security guard would not let him through the front door. They had allowed the rest of the party and decided that they did not like him at all, so he stayed outside. This caused an altercation to break out between myself and the security guard, where they tackled me to the ground after trying to grab my legs.",43009,Yes,7,1,1,7,1,5,6,7,7,7,7,6.8,6,7,7,7,7,2,7,6.142857143,3,3,2,3,3,2,2.666666667,32,Female
24.147.205.93,"I was getting a cup of coffee from the kitchen and walking into the living room when my child ran from one room into the other. They crashed into me, spilling hot coffee all over my arm. My skin didn't blister, but it was very painful and red for two days afterward. I was upset when it first happened, but I was able to calmly remind my daughter that they weren't allowed to run in the house precisely because accidents like that could happen. They were very upset, as well, but I forgave them quickly. They didn't run in the house again...much.","May, 2019",Yes,1,4,3,3,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,46,Male
174.238.161.247,"My mother and I have always had a strained relationship dating back to when I was a kid just due to the sheer differences in our personality types. Not long after my dad passes away in July 2021, my mother and I were arguing about how to divide up my dad's life insurance check. I'm better at money than she is, so I offered to help but she exploded at me accusing me of all sorts of nonsense, like I was out to get her. Ended up just walking out the door before I said something I'd regret rather than argue with her. She phoned me the next day apologizing for going off on my, that she's going through alot. I forgave her as in this situation, I'm going through as much as she is.  ",44409,Yes,6,2,3,5,4,5,1,1,1,1,1,1,1,1,2,1,1,1,3,1.428571429,6,5,7,7,1,6,5.333333333,42,Male
97.124.78.24,"When I was 17, I got in a fist fight with a close friend. We were fighting over a girl. It was something stupid that we both immediately regretted after. Hours after, we talked and were able to forgive each other. We both agreed it was stupid.","September, 2015",Yes,3,4,2,6,5,5,1,1,1,1,2,1.2,1,1,1,1,1,2,7,2,6,7,7,7,7,7,6.833333333,25,Male
68.202.57.152,"I have often been treated by my dad as if i am supposed to make him look good in the eyes of others. Despite my effort, that's not something i have been able to do in my life. So from time to time he would say little things to try and get me to prove him wrong. I never knew how low he saw me until a few months ago when he got worse with his words and started telling me how others are better than I am and how i am worse off than someone from a third world country. ",45108,Yes,6,2,5,4,2,5,3,1,3,2,2,2.2,4,1,4,4,2,4,5,3.428571429,6,5,4,5,4,4,4.666666667,34,Female
68.1.124.29,"In my early to mid 20's I got into a stupid argument with my brother over a video game. I honestly don't even remember what the argument was about, but I do remember what happened during it. We were arguing with each other, and he ended up calling me fat, in a much more offensive way than just saying I was fat. I was taken aback, and I was very hurt by this. It felt like something that was very mean spirited and taking things way too far for an argument over a video game, making things personal. He did apologize after he had cooled down for a day or two, and I forgave him, but I did end up losing weight, and I think this was definitely one of the reasons why.","November, 2015",Yes,4,2,2,5,4,2,1,1,1,1,1,1,3,4,4,3,1,3,2,2.857142857,6,5,7,4,7,4,5.5,32,Male
184.96.230.69,"When i was in my mid twenties, i had a girlfiend whom i really cared for. Out of the blue on day, she broke things off with me without explanation. I found out a week or so later that she had been cheating on me with a friend of mine and ultimately left me to be with him. It took several years, but she reached out to me to apologive and i did forgive her. ","October, 2014",Yes,6,3,1,6,2,4,2,2,4,1,2,2.2,3,5,5,3,3,3,3,3.571428571,6,6,4,4,6,5,5.166666667,35,Male
76.204.69.212,"I had a medical event involving a rare brain disorder. When I tried to get medical attention, my mother decided to try to drop me off at a women's shelter instead. It resulted in me wandering my city for several hours and being mentally hospitalized although I had a medical, not mental, condition. I forgave my mom for not knowing what to do.",43556,Yes,5,1,1,7,1,6,1,1,1,1,1,1,5,7,7,7,7,7,7,6.714285714,6,2,5,1,1,1,2.666666667,58,Female
172.59.73.12,"My ex-husband, who I had been with for fourteen years, told me he didn't love me anymore and he wanted a divorce. He had fallen in love with someone else. It devastated me emotionally and I was very hurt and angry.","October, 2016",Yes,6,1,1,7,2,6,1,1,1,1,1,1,2,2,3,3,4,4,2,2.857142857,6,4,4,4,7,5,5,46,Female
172.59.168.131,My grandmother hurt my feeling severely when she decided to let my brother be the one that moved into the house next door to her. My grandmother and I had always been close and it was very hurtful that she wanted my brother and his wife and kids to live there.  I did end up forgiving her and deciding it was he choice.,43374,Yes,4,4,1,6,3,3,1,1,4,1,1,1.6,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,43,Female
73.14.8.203,"Earlier this year, my cousin moved out here and stayed with us for a few months. At the very start of her stay, we got into a fight, and she told me I was annoying and that I always had been. It was very hurtful, and honestly reminded me of some of the things my ex-husband used to say to me. Then, it later turned out that she didn't even remember saying that to me, which hurt me all over again. I have forgiven her, because she was very tired and stressed at the time, and obviously she didn't mean it.",45139,Yes,3,2,1,7,2,6,1,1,1,1,1,1,5,1,4,4,1,5,3,3.285714286,7,7,7,6,3,3,5.5,54,Female
174.251.208.243,"my ex punched me in the back while I was laying on the ground, breaking my ribs. I forgave him because I used to be a dumb person",43739,Yes,7,2,1,7,1,2,1,1,2,1,2,1.4,6,7,7,1,6,7,4,5.428571429,6,1,2,1,7,3,3.333333333,38,Female
99.75.107.157,"We were in a restaurant and the other person was in a horrible mood. She spent the entire time complaining about everything. She was insulting her boyfriend openly and people at other tables were noticing and beginning to get uncomfortable. She told her boyfriend that his daughter was ""fucking that (very bad word for a boy). My children were there and I stated that she can't talk like this in public. She then began to tell me what wrongs I have done in my life. I got up in the middle of her speaking, grabbed my kids, and left.",45108,Yes,7,2,1,7,2,4,2,1,1,1,1,1.2,7,7,7,7,7,7,3,6.428571429,4,1,1,1,6,4,2.833333333,49,Male
192.24.156.131,"This woman was my best friend from kindergarten. We were best friends for almost 25 years. But I started having a successful business selling bath bombs, body butters, bubble bars, and other body care items. I also started selling things like candles. I had a personal reason why I started my business. My friend saw my success and saw that I was able to do all this from my home. She thought, ""Perfect! I can sit at home all day and make money just like she is!"" And she started researching how to make bath bombs and body butters and candles. She then tried to sell them at a cheaper price to undercut me. She's a lot more popular than I am (I was the shy, fat kid in school no one liked) and she ended up making massive sales, and also because she had her prices cheaper. She tried to ruin my business and take all my customers with no knowledge so I confronted her. It ended our friendship. ",42917,Yes,7,1,1,7,1,7,3,1,5,1,1,2.2,5,3,7,5,4,5,5,4.857142857,5,3,4,4,5,4,4.166666667,35,Female
172.56.77.135,"A boyfriend cheated on me & I forgave him & started seeing him again. I really liked him & he explained it was a big mistake & he loved me. I gave him money too, I was an idiot. He cheated more & I stayed. I finally left but to help my own psyche, I forgave him yet again. I think he was mentally ill.",42491,Yes,7,3,1,7,3,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,6,7,1,1,6,1,3.666666667,52,Female
108.231.33.230,"This just happened. This situation involved my sister. We were talking about holiday plans, and she hurt my feelings about the amount of time I would be able to spend with the family. We made up almost immediately, but my feelings were hurt.",45261,Yes,2,4,3,2,3,3,1,1,2,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,Male
65.99.120.151,"My father cheated on my mother twice during covid. While we were stuck at home wondering if everyone would be safe, he was out seeing another woman. We all had said we would limit interactions with other people because of my sister recovering from a stroke, so we could not risk her health with a sickness like covid. I remember him leaving his email up and looking through it to find the motel receipts, and  gift baskets that he was sending her. Then we saw through the text messages on his phone and the damage that he did to everyone was large. It took many months of discussion and counseling for all of us to learn to forgive him, mostly because he's our dad and we can't just pretend he doesn't exist.",44013,Yes,6,2,1,6,2,5,2,1,2,1,1,1.4,2,1,3,1,1,2,2,1.714285714,6,5,6,5,3,6,5.166666667,27,Male
172.220.117.129,"I have been in a relationship with my boyfriend/partner/father of my son for 20 years. Of course, in the last ten years we have had our share of disagreements. He has a problem with anger and has escalated that anger to a point of harming me emotionally and physically in one instance a couple years ago. He was arrested and I forgave him - he acknowledged his mental health issues and became aware of how they affected everyone around him. We have had minor arguments since then, but nothing outside of adult heated debates.",44317,Yes,6,4,3,6,4,2,3,2,2,2,1,2,4,3,3,3,1,2,3,2.714285714,4,5,6,6,4,6,5.166666667,40,Female
68.51.55.249,"A guy that was my friend and roommate harmed me emotionally when I lived with him. He had had feelings for me, and didn't like that I didn't reciprocate them. I was dating someone else, and he would make things up to try to make my boyfriend look bad. He would treat me very coldly and would say nasty things about me behind my back. I did forgive him, but we are no longer friends.",All year 2015,Yes,6,1,1,7,1,4,1,1,1,1,1,1,6,7,7,7,7,7,7,6.857142857,2,2,1,1,5,3,2.333333333,33,Female
73.16.115.47,"My friend had harmed me emotionally and physically when he was under the impression that I had been flirting with his girlfriend. He struck me in the back of the head, and I was shaken up emotionally and physically. I ended up forgiving him once he realized it was a misunderstanding.",43009,Yes,5,2,2,7,3,6,3,2,3,2,2,2.4,5,2,3,2,1,2,3,2.571428571,6,7,6,7,6,5,6.166666667,32,Male
98.10.71.102,"I had a friend who began to be a bully and created a group of peers that assisted in bullying me through using social media (AIM at the time) to harass, bully, and hurt me.
 Throughout several years of us not speaking and ""hating each other"" we eventually made up due to a mutual friend and he is now one of my best friends. ",38777,Yes,6,1,1,7,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,7,6,7,7,6.333333333,34,Female
204.186.68.80,This is the case where my ex cheated on me and was caught with evidence which cause me  heart broken to me but with a lot of pleading i was able to forgive her,43709,Yes,5,6,3,5,5,5,3,5,5,5,5,4.6,6,3,5,5,5,5,5,4.857142857,6,5,5,5,3,5,4.833333333,24,Male
174.170.200.113,It was about a girl online who hurt my feelings when I posted my picture. She rejected me very harshly due to my appearance. She told me that she would never fall in love with someone like me and would rather shoot herself instead of going out with me This devastated me but I eventually forgave her. It did take a while for me to forgive her though. ,43525,Yes,7,1,1,6,2,7,4,7,7,4,7,5.8,7,7,7,6,7,7,7,6.857142857,2,2,1,1,4,6,2.666666667,29,Male
99.28.98.68,"Back to my trip to South Korea, this person ended up getting very drunk. This person belittled me by calling me names and talking about my weight. I asked them to stop talking to me, though they kept going on. Later I ended up forgiving them for it, though it still hurts me.",42826,Yes,6,2,2,6,3,4,1,1,1,1,1,1,4,1,4,1,1,3,3,2.428571429,6,5,5,3,3,5,4.5,24,Female
68.80.43.15,"My brother was going through a manic depressive episode. I was trying to calm him down, and also stop him from drinking which only exacerbates the condition. He is much taller and stronger than me, though I am older. He was very argumentative and extremely rude, cursing at me and bringing up my own bi-polar diagnosis. At one point he shoved me and I fell. He was very apologetic as soon as I fell. I was angry, but I forgave him because he is my little brother, and I understand he is going through a difficult time.","April, 2023",Yes,5,2,1,7,3,6,1,1,1,1,1,1,1,1,3,2,1,1,2,1.571428571,7,7,7,7,6,6,6.666666667,44,Female
162.237.234.147,"My deceased husband was a Narcissist,very controlling, mentally, physically and verbally abusiveness and great at gaslighting. I didn't know he was a narc. until I realized how much he acted liked trump. I looked up the actual description and there was my husband. He did an awful lot of damage to me,but I'm getting better as time goes by. I forgave him somewhat due to him being mental and most importantly, it's just not healthy to carry around that much negative energy.",24 years,Yes,7,2,1,7,4,5,1,2,4,1,2,2,7,6,7,7,7,7,6,6.714285714,3,1,1,1,5,1,2,48,Female
97.103.101.26,"My first relationship ended by my significant other breaking up with me. At first I was very upset and felt emotionally harmed. As time went on though, I understood why he did it and was okay with it. I eventually forgave them.",43497,Yes,2,4,2,5,4,4,1,1,1,1,1,1,4,4,2,4,5,5,2,3.714285714,6,4,4,3,6,2,4.166666667,25,Female
99.57.142.235,"This happened about 4 years ago, when one of my best friends was caught catfishing me for over 10 years. This hurt me emotionally and caused me to lose trust in people. This person who I thought was my friend, pretended to be a beautiful woman and played with me emotionally over the years. It was an on and off, toxic relationship. I felt completely fooled and honestly quite embarrassed about the whole situation. After confronting him about it, he confessed and apologized because he was a gay man that just wanted to be born as a beautiful woman. I forgave him, but I also could not be friends with him again after that. ","August, 2019",Yes,7,1,1,6,1,4,1,3,4,3,3,2.8,7,7,7,7,7,7,7,7,4,1,1,1,3,1,1.833333333,34,Male
76.152.172.19,My boyfriend at the time told me he stop smoking as I do not support it. He emotionally harmed me as I found out he had lied and continued to smoke behind my back. I ended up forgiving the person who harmed me as I know his intent was not ill and he had smoke more mental health reasons. ,44713,Yes,5,4,2,5,3,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1.285714286,7,4,7,3,6,3,5,25,Female
50.209.29.137,I had a high school friend who was upset by incorrect information about me that she had heard from another mutual friend. She told me I was a bad friend and told all my other friends not to be friends with me. Eventually she realized she had incorrect information and apologized. I felt hurt by it for a while but eventually forgave her. ,42430,Yes,4,2,2,4,3,1,1,1,1,1,1,1,2,2,4,2,2,3,4,2.714285714,5,4,4,4,7,4,4.666666667,29,Female
50.196.38.65,While employed I experienced an episode of depression. This made it difficult for me to perform my job duties. My boss decided to take away my job. This was devastating to me because I valued my job. I forgave my boss.,43101,Yes,7,1,1,7,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,64,Female
70.175.93.13,"One of my friends I've known almost my whole life started talking to me every day through social media, and acted like she was interested in a relationship with me. We both lived on opposite sides of the country, so I planned to visit her. But when I finally got there, she acted totally aloof and different towards me, and was only interested in obtaining material things from me, and did not want to be in a relationship with me. It hurt me very badly, but I forgave her and vowed never to let her put me in that situation again.",45200,Yes,5,3,2,6,2,3,1,1,1,1,1,1,6,6,7,7,6,7,7,6.571428571,7,4,2,2,5,2,3.666666667,40,Male
172.58.221.254,The incident happened when I was in high school. A classmate bullied me over my food for he forgot to bring his own during break time. I ended up forgiving him because I have seen how hungry he was.,31229,Yes,5,3,3,5,4,5,1,1,2,1,1,1.2,2,1,2,2,1,1,3,1.714285714,6,7,7,7,7,7,6.833333333,51,Male
24.217.25.149,One of my friends basically took something from me and we got into an argument over it and got into a mini scuffle.  We were working at the same job at the time and I was ignoring him and he me. I ended up getting a shift change after awhile.  After some time I talked to friends that were friends with the both of us and got them to talk for me so that I eventually could apologize.  I ended up forgiving them in the end,"March,2015",Yes,4,6,3,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,4,7,4,7,7,6,37,Male
24.126.69.155,"A friend said and laughed about something that they know is emotionally harmful about me, behind my back to multiple others. I was told by some of the people present, but it was denied by the friend in question. I eventually forgave them.","July, 2018",Yes,6,1,1,7,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,44,Male
